mno	mname	gno	introduction	director	actor	sdate	edate	rtime	tno	ano
1	범죄도시4	8	나쁜 놈 잡는데 국경도 영역도 제한 없다! 업그레이드 소탕 작전! 거침없이 싹 쓸어버린다!	허명행	마동석,김무열,박지환	2025-06-28	2025-07-08	140	2	4
2	기생충	1	지하세계와 상류층의 충돌을 통한 사회적 갈등	봉준호	송강호,이선균,조여정	2025-07-06	2025-07-13	120	1	4
3	남산의 부장들	8	대한민국 대통령의 암살을 감싸는 미스터리한 음모	우민호	이병헌,이성민,김소진	2025-06-28	2025-07-08	120	5	4
4	신세계	8	범죄 조직 내부의 파워게임과 배신의 이야기	박훈정	이정재,최민식,황정민	2025-07-09	2025-07-19	170	5	4
5	암살	8	일본 식민지 하에서 조선인 독립을 위한 의거지의 암살 작전	최동훈	이정재,전지현,하정우	2025-06-28	2025-07-08	130	6	4
6	명량	10	조선 해군과 왜국 함대의 대규모 해전을 그린 역사 영화	김한민	최민식,조진웅,류승룡	2025-07-09	2025-07-19	170	6	4
7	괴물	6	한 강의 괴생명체에 의한 패닉의 서울을 그린 명작	봉준호	송강호,배두나,고아성	2025-07-20	2025-07-30	160	6	4
8	도둑들	8	대한민국 최대 은행 강도 사건을 모티브로 한 두뇌 싸움	최동훈	김윤석,김혜수,이정재	2025-06-28	2025-07-08	160	3	4
9	완득이	1	사회적 경계 속에서 성장하는 소년의 이야기를 그린 감동작	임순례	김윤석,윤제문,김소은	2025-07-14	2025-07-21	180	1	3
10	7번방의 선물	1	정신이상자가 범한 살인사건을 둘러싼 감동적인 우정 이야기	이환경	류승룡,박신혜,오달수	2025-07-09	2025-07-19	180	3	3
11	최종병기 활	10	조선시대 활잡이의 전설적인 이야기를 통한 액션 대작	김한민	박해일,류승룡,문정희	2025-07-09	2025-07-19	160	2	3
12	어벤져스: 엔드게임	7	슈퍼히어로들의 최후의 전쟁을 그린 대규모 스케일 영화	안소니 루소,조 루소	로버트 다우니 주니어,크리스 에반스,크리스 헴스워스	2025-07-31	2025-08-10	130	3	4
13	인천상륙작전	10	한국 전쟁 중 인천 상륙작전을 다룬 역사적인 전쟁 영화	이한욱	이정재,이범수,김명민	2025-07-31	2025-08-10	110	6	3
14	타짜: 신의 손	8	범죄세계의 카드 대결을 그린 카드놀이 영화	강형철	최승현,하정우,이하늬	2025-08-11	2025-08-21	120	6	4
15	써니	1	여고시절의 친구들이 다시 모여 불청객을 맞이하는 이야기	강형철	윤여정,공효진,김민희	2025-07-20	2025-07-30	170	5	3
16	해운대	3	씨름 강습소를 배경으로 한 지역 히어로들의 이야기	윤제균	하정우,김해숙,이정은	2025-08-11	2025-08-21	110	5	3
17	늑대소년	6	늑대와 인간의 이중적 존재를 그린 판타지 영화	조성희	강동원,이정재,이희준	2025-07-31	2025-08-10	110	2	3
18	국제시장	1	한국 전쟁 시기에 일어난 어린 난민들의 이야기를 다룬 인도주의 영화	윤제균	황정민,김윤진,오달수	2025-06-28	2025-07-12	120	4	3
19	변호인	1	일본식민지 하에서 한 양혁 변호사의 이야기를 그린 감동적인 영화	양우석	송강호,김영애,오달수	2025-07-13	2025-07-27	180	4	3
20	광해, 왕이 된 남자	10	조선시대 광해군의 무림과 정치를 그린 역사 드라마	추창민	이병헌,한효주,김민희	2025-07-20	2025-07-30	110	3	3
21	추격자	4	경찰과 범죄자의 숨막히는 추격전을 그린 스릴러 영화	나홍진	송강호,김윤석,조승우	2025-07-28	2025-08-11	110	4	3
22	옥자	7	한 소녀와 그녀의 돼지 친구 사이의 우정을 그린 판타지 영화	봉준호	안서현,틸다 스윈튼,폴 더노	2025-07-20	2025-07-30	120	2	3
23	남자가 사랑할 때	1	죽음을 향한 마지막 여정을 그린 로맨스 드라마	김훈	최민식,한지민,김병옥	2025-07-22	2025-07-29	160	1	3
24	터널	4	고립된 터널에서의 생존을 그린 스릴러 영화	김성훈	하정우,도경수,배종옥	2025-07-31	2025-08-10	130	5	3
25	라라랜드	2	뮤지컬 영화로서 사랑과 꿈을 향한 여정을 그린 작품	데이미언 셔젤	라이언 고슬링,엠마 스톤,존 레전드	2025-08-11	2025-08-21	150	3	3
26	인터스텔라	7	우주 여행과 인류의 생존을 다룬 SF 대작	크리스토퍼 놀란	매튜 맥커너히,앤 해서웨이,제시카 차스테인	2025-08-22	2025-09-01	120	3	4
27	그것	6	피비아스를 쫓는 아이들의 모험을 그린 공포 영화	앤디 머샬	비욘드 슈가,제임스 레이저,비욘드 슈가	2025-08-22	2025-09-01	170	5	4
28	어벤져스: 인피니티 워	7	마블 히어로들의 대규모 대결을 그린 액션 대작	안소니 루소,조 루소	로버트 다우니 주니어,크리스 헴스워스,조쉬 브롤린	2025-08-12	2025-08-26	140	4	4
29	미션 임파서블: 폴아웃	3	미션 임파서블 시리즈의 최신 작품으로서 액션 스릴러 영화	크리스토퍼 맥쿼리	톰 크루즈,헨리 카빌,베네딕트 컴버배치	2025-08-11	2025-08-21	150	2	4
30	죽은 시인의 사회	1	이국적인 세계를 배경으로 한 청춘들의 이야기를 그린 미스터리 드라마	피터 위어	로빈 윌리암스,로버트 쇼한,이닝 맥켈런	2025-07-30	2025-08-06	150	1	3
31	군도: 민란의 시대	8	조선시대 민란기의 영웅들의 이야기를 그린 사극 액션 영화	윤종빈	하정우,강동원,한효주	2025-08-22	2025-09-01	160	6	2
32	시라노; 연애조작단	2	사랑을 위해 우정을 건네는 이야기를 그린 로맨틱 코미디	김현석	최태준,한예리,권혁	2025-09-02	2025-09-12	150	5	1
33	오늘의 연애	2	한 남자와 여자의 연애 과정을 담은 로맨스 코미디	박진피	이승기,문채원,이유비	2025-08-22	2025-09-01	160	2	1
34	배심원들	1	살인 사건의 용의자들을 둘러싼 법정 드라마	홍원찬	문소리,백윤식,유지태	2025-09-02	2025-09-12	130	3	2
35	데드풀	3	빌런을 상대로 활약하는 액션 코미디 영화	팀 밀러	라이언 레이놀즈,모레나 바카린,에드 스크린	2025-09-02	2025-09-12	110	6	2
36	닥터 스트레인지	7	신비한 마법사의 성장과 모험을 그린 판타지 액션 영화	스콧 데릭슨	베네딕트 컴버배치,틸다 스윈튼,래첼 맥아담스	2025-09-13	2025-09-23	130	6	2
37	캡틴 마블	7	우주 전쟁의 여주인공 캡틴 마블의 모험을 그린 SF 액션 영화	애너 보든,라이언 플렉	브리 라슨,사무엘 L. 잭슨,벤 멘델슨	2025-08-27	2025-09-10	170	4	2
38	킹스맨: 시크릿 에이전트	3	신사들의 비밀 조직과의 전쟁을 그린 액션 코미디 영화	매튜 본	콜린 퍼스,티론 에저튼,사무엘 L. 잭슨	2025-09-13	2025-09-23	130	3	2
39	어바웃 타임	2	시간을 건너뛰며 사랑을 찾아가는 남자의 이야기를 그린 판타지 로맨스	리처드 커티스	돔놀 글리슨,레이첼 맥아담스,빌 나이	2025-09-13	2025-09-23	140	5	4
40	살인의 추억	4	살인 사건의 추억을 되새기는 사람들의 이야기를 그린 스릴러 영화	박찬욱	송강호,김상경,김래원	2025-09-24	2025-10-04	110	5	2
41	밀정	8	일제 강점기를 배경으로 한 국가 비밀경찰의 이야기를 그린 스릴러 영화	김지운	송강호,공유,조진웅	2025-08-07	2025-08-14	150	1	3
42	스파이더맨: 뉴 유니버스	7	별개의 우주에서 다양한 스파이더맨이 모이는 애니메이션 영화	밥 퍼시케티	쇼메이크 무어,제이크 존슨,하이레이터 소니필드	2025-09-24	2025-10-04	120	6	1
43	레미제라블	1	프랑스 혁명 시기를 배경으로 한 뮤지컬 영화	톰 호퍼	휴 잭맨,러셀 크로우,앤 해서웨이	2025-08-15	2025-08-22	150	1	2
44	캡틴 아메리카: 윈터 솔져	7	캡틴 아메리카의 친구인 윈터 솔져의 이야기를 그린 액션 SF 영화	안소니 루소,조 루소	크리스 에반스,스칼렛 요한슨,세바스찬 스탠	2025-10-05	2025-10-15	130	5	2
45	비긴 어게인	2	음악과 사랑의 이야기를 그린 감동적인 로맨스 드라마	존 카니	키이라 나이틀리,마크 러팔로,어닐 캠벨	2025-08-23	2025-08-30	150	1	1
46	레버넌트: 죽음에서 돌아온 자	1	생존을 건 사나이의 홀로코스트 서바이벌	알레한드로 곤잘레스 이냐리투	레오나르도 디카프리오,톰 하디,도널 글리슨	2025-10-16	2025-10-26	160	5	2
47	미쓰 홍당무	2	말이 없는 고양이와 소통하는 여성의 이야기를 그린 코미디 드라마	김충렬	신민아,이상윤,이수경	2025-09-02	2025-09-12	160	2	1
48	해리 포터와 아즈카반의 죄수	7	마법 세계에서 벌어지는 위험한 모험을 그린 판타지 영화	알폰소 쿠아론	다니엘 래드클리프,엠마 왓슨,루퍼트 그린트	2025-09-11	2025-09-25	140	4	1
49	인셉션	7	꿈 속으로 들어가 사람들의 의식을 조작하는 이들의 이야기를 그린 SF 스릴러 영화	크리스토퍼 놀란	레오나르도 디카프리오,조셉 고든 레빗,엘렌 페이지	2025-10-05	2025-10-15	170	6	2
50	미드나잇 인 파리	1	파리의 아름다움과 로맨스를 담은 판타지 로맨스 영화	우디 앨런	오웬 윌슨,레이첼 맥아담스,마리옹 꼬띠아르	2025-08-31	2025-09-07	180	1	1
51	캐리비안의 해적: 망자의 함	7	잊혀진 해적들의 소울과 함께하는 모험을 그린 모험 판타지 영화	요아킴 뢰닝	조니 뎁,페넬로페 크루즈,이안 맥쉐인	2025-09-08	2025-09-15	140	1	2
52	맨체스터 바이 더 씨	1	가족과 용서의 이야기를 그린 드라마	케네스 로너건	케이시 아플렉,미셸 윌리엄스,카일 챈들러	2025-09-16	2025-09-23	140	1	2
53	말할 수 없는 비밀	1	음악을 통해 소통하는 청소년들의 이야기를 그린 로맨스 드라마	정재익	송강호,박신혜,변요한	2025-09-13	2025-09-23	160	2	1
54	아저씨	4	아내를 죽인 범인들에게 복수하는 한 남자의 이야기를 그린 액션 스릴러	이정범	원빈,김새론,김태희	2025-09-24	2025-10-04	180	3	3
55	해리 포터와 마법사의 돌	7	어느 날, 특별한 소년 해리 포터가 마법 세계로 끌려가는 이야기를 그린 판타지 영화	크리스 콜럼버스	다니엘 래드클리프,엠마 왓슨,루퍼트 그린트	2025-10-05	2025-10-15	170	3	1
56	타이타닉	2	1912년 타이타닉호 침몰 사건을 배경으로 한 사랑 이야기	제임스 카메론	레오나르도 디카프리오,케이트 윈슬렛,빌리 제인 애어바인	2025-10-16	2025-10-26	130	3	1
57	캐리비안의 해적: 죽은 자는 말이 없다	3	자유로운 삶을 꿈꾸는 해적들의 모험을 그린 모험 판타지 영화	고어 버빈스키	존니 뎁,올랜도 블룸,키이라 나이틀리	2025-09-24	2025-10-04	130	2	2
58	반지의 제왕: 반지 원정대	7	반지를 파괴하기 위한 모험을 떠나는 영웅들의 이야기를 그린 판타지 영화	피터 잭슨	일라이저 우드,이안 맥켈런,비고 모텐슨	2025-10-27	2025-11-06	160	3	2
59	그래비티	7	우주에서 살아남기 위한 여정을 그린 SF 스릴러 영화	알폰소 쿠아론	샌드라 블록,조지 클루니	2025-10-27	2025-11-06	160	5	1
60	레옹	8	소녀와 킬러 사이의 독특한 우정을 그린 액션 스릴러 영화	뤽 베송	장 르노,나탈리 포트만,게리 올드만	2025-10-16	2025-10-26	150	6	3
61	더 테러 라이브	4	테러범에게 점령된 방송국의 사건을 그린 스릴러 영화	김병우	하정우,이범수,조한선	2025-06-28	2025-07-05	140	1	3
62	태극기 휘날리며	10	한국 전쟁을 배경으로 한 독립운동가들의 이야기를 그린 역사 드라마	강제규	장동건,원빈,이은주	2025-11-07	2025-11-17	110	5	3
63	전우치	7	실존 인물을 바탕으로 쓴 고전소설의 주인공 '전우치'를 현대적으로 해석한 작품	최동훈	강동원,유해진,임수정	2025-10-05	2025-10-15	160	2	2
64	럭키	1	유해진, 이준 주연의 2016년 한국 코미디 영화. 일본 영화 《열쇠 도둑의 방법》을 리메이크한 작품이다.	이계벽	유해진,이준,조윤희	2025-11-07	2025-11-17	160	3	3
65	서울의 봄	1	목숨을 건 두 세력의 팽팽한 대립과 갈등 오늘 밤, 대한민국 수도에서 가장 치열한 전쟁이 펼쳐진다!	김성수	황정민,정우성,이지민	2025-11-18	2025-11-28	160	3	2
66	런닝맨	5	살인 누명을 쓴 도망자, 모든 것을 바꾸기 위해 그가 뛰기 시작했다!	조동오	신하균,이민호,조은지	2025-09-26	2025-10-10	140	4	3
