rno	uno	mno	date	time	adult	Teenager	senior	seat	coupon	price
1	76	61	2025-06-28	14:00:00	2	0	1	A05,A06,A07	0	46000
2	63	8	2025-06-28	20:00:00	1	2	1	A03,A04,A05,A06	2	48800
3	39	61	2025-06-28	23:00:00	1	1	1	F03,F04,F05	0	42000
4	10	8	2025-06-28	17:00:00	0	1	2	D04,D05,D06	2	28400
5	25	61	2025-06-28	17:00:00	0	2	2	F02,F03,F04,F05	0	48000
6	34	8	2025-06-28	20:00:00	0	2	1	D02,D03,D04	0	38000
7	29	8	2025-06-28	23:00:00	1	2	2	A02,A03,A04,A05,A06	2	58800
8	38	5	2025-06-28	11:00:00	2	2	0	G01,G02,G03,G04	1	46000
9	68	3	2025-06-28	8:00:00	2	2	1	E03,E04,E05,E06,E07	2	44600
10	51	5	2025-06-28	14:00:00	3	2	0	G03,G04,G05,G06,G07	1	64000
11	51	3	2025-06-28	8:00:00	3	0	2	A02,A03,A04,A05,A06	1	33800
12	23	1	2025-06-28	17:00:00	2	2	0	A03,A04,A05,A06	1	46000
13	68	1	2025-06-28	14:00:00	2	0	0	F04,F05	2	28800
14	3	1	2025-06-28	23:00:00	2	0	1	G03,G04,G05	0	46000
15	97	1	2025-06-28	23:00:00	1	2	0	C01,C02,C03	2	38800
16	19	61	2025-06-28	11:00:00	3	0	0	H02,H03,H04	0	54000
17	28	61	2025-06-28	23:00:00	2	2	1	E03,E04,E05,E06,E07	0	74000
18	30	8	2025-06-28	8:00:00	0	0	2	A02,A03	2	10000
19	24	61	2025-06-28	8:00:00	3	0	1	C05,C06,C07,C08	1	26800
20	6	8	2025-06-28	11:00:00	2	1	2	C03,C04,C05,C06,C07	2	62800
21	21	8	2025-06-28	14:00:00	1	0	1	C05,C06	2	20800
22	13	8	2025-06-28	17:00:00	0	0	1	C04	2	6000
23	5	8	2025-06-28	23:00:00	1	0	1	A05,A06	0	28000
24	60	3	2025-06-28	14:00:00	1	1	2	D01,D02,D03,D04	2	44800
