rvno	rno	like
1	1	4
2	2	4
3	3	5
4	9	1
5	12	5
6	13	4
7	14	4
8	15	5
9	16	1
10	17	2
11	19	2
12	21	1
13	22	3
14	23	5
15	29	4
16	30	4
17	32	4
18	33	2
19	35	2
20	36	5
21	38	3
22	47	1
23	48	4
24	49	1
25	50	5
26	52	4
27	54	5
28	55	1
29	56	3
30	57	4
31	60	4
32	63	1
33	65	1
34	66	4
35	68	4
36	69	2
37	70	5
38	71	4
39	74	5
40	75	4
41	77	3
42	78	5
43	81	3
44	82	3
45	84	1
46	87	3
47	88	4
48	92	1
49	94	3
50	95	2
51	96	5
52	97	4
53	99	3
54	102	4
55	103	3
56	105	2
57	106	2
58	109	3
59	110	4
60	111	1
61	117	3
62	118	5
63	120	3
64	121	3
65	124	1
66	125	5
67	127	1
68	129	5
69	130	1
70	131	3
71	138	1
72	139	5
73	140	4
74	141	1
75	142	1
76	143	3
77	144	3
78	147	5
79	150	1
80	151	4
81	152	1
82	153	5
83	154	1
84	158	3
85	159	4
86	161	2
87	162	5
88	165	3
89	169	4
90	173	4
91	176	1
92	179	1
93	181	1
94	184	4
95	185	3
96	189	2
97	191	3
98	198	2
99	199	4
100	200	5
101	202	4
102	203	4
103	204	5
104	206	3
105	210	5
106	212	5
107	214	2
108	217	5
109	225	4
110	228	3
111	232	2
112	234	1
113	241	1
114	245	5
115	247	4
116	248	4
117	249	2
118	250	4
119	251	1
120	254	3
121	255	1
122	262	2
123	265	4
124	266	3
125	267	1
126	270	2
127	275	5
128	278	4
129	279	1
130	281	1
131	284	2
132	287	2
133	288	4
134	289	4
135	292	5
136	293	1
137	296	3
138	297	5
139	299	1
140	304	5
141	305	3
142	306	2
143	310	4
144	312	5
145	316	2
146	319	4
147	320	4
148	321	2
149	322	5
150	323	2
151	324	2
152	325	3
153	327	5
154	329	2
155	330	4
156	331	4
157	333	5
158	335	2
159	336	1
160	338	5
161	341	1
162	343	4
163	344	4
164	345	4
165	346	3
166	349	2
167	351	3
168	354	4
169	356	5
170	357	2
171	358	5
172	360	3
173	365	3
174	366	1
175	367	1
176	368	4
177	369	3
178	370	3
179	371	4
180	372	2
181	373	3
182	376	2
183	377	1
184	378	5
185	381	5
186	384	1
187	385	4
188	387	3
189	388	1
190	389	3
191	390	3
192	391	3
193	392	5
194	394	3
195	395	4
196	397	5
197	398	3
198	399	1
199	400	2
200	406	4
201	407	4
202	409	1
203	411	3
204	416	3
205	420	5
206	423	4
207	425	5
208	426	4
209	429	5
210	432	1
211	434	1
212	437	1
213	438	4
214	439	5
215	440	5
216	446	1
217	449	3
218	450	2
219	451	2
220	458	5
221	459	2
222	462	4
223	463	5
224	464	5
225	465	5
226	467	4
227	468	5
228	470	3
229	475	2
230	477	5
231	478	4
232	482	3
233	484	2
234	485	1
235	486	5
236	489	2
237	495	2
238	496	4
239	498	1
240	499	1
241	501	4
242	505	2
243	507	5
244	508	5
245	511	2
246	512	2
247	514	1
248	515	1
249	518	3
250	519	2
251	520	5
252	523	3
253	524	4
254	528	2
255	530	4
256	531	3
257	532	1
258	535	2
259	537	4
260	539	2
261	544	4
262	545	4
263	546	1
264	547	2
265	550	3
266	551	4
267	552	1
268	557	1
269	559	4
270	561	4
271	566	3
272	569	2
273	571	3
274	573	3
275	580	1
276	581	1
277	582	2
278	583	4
279	584	1
280	585	4
281	587	4
282	589	2
283	590	5
284	593	4
285	596	1
286	598	2
287	604	1
288	606	2
289	607	2
290	609	4
291	610	5
292	611	2
293	618	5
294	619	2
295	621	5
296	623	5
297	627	1
298	632	1
299	634	5
300	637	1
301	638	1
302	640	2
303	642	1
304	644	5
305	645	5
306	648	4
307	650	1
308	652	1
309	653	3
310	654	4
311	658	5
312	660	5
313	662	5
314	663	1
315	668	5
316	669	2
317	671	2
318	673	5
319	674	1
320	675	3
321	678	3
322	681	5
323	682	1
324	685	2
325	689	2
326	690	1
327	695	5
328	699	5
329	700	3
330	701	2
331	702	4
332	703	4
333	705	4
334	706	3
335	708	4
336	711	1
337	712	3
338	713	5
339	715	4
340	716	5
341	718	2
342	726	3
343	727	2
344	728	1
345	730	5
346	731	5
347	733	1
348	734	1
349	737	1
350	738	3
351	739	5
352	740	4
353	741	1
354	742	2
355	743	5
356	745	5
357	746	4
358	747	5
359	748	3
360	749	5
361	750	5
362	751	1
363	754	5
364	761	2
365	764	4
366	765	2
367	766	2
368	770	1
369	775	5
370	778	4
371	784	5
372	785	5
373	786	5
374	789	3
375	791	1
376	795	3
377	796	3
378	797	4
379	798	3
380	800	2
381	803	1
382	804	1
383	805	1
384	808	3
385	810	2
386	816	4
387	817	5
388	818	3
389	819	2
390	820	4
391	821	5
392	827	5
393	835	1
394	837	2
395	838	5
396	842	2
397	843	5
398	844	3
399	848	1
400	849	2
401	851	5
402	852	1
403	854	4
404	859	1
405	860	4
406	868	2
407	870	4
408	872	2
409	876	5
410	879	2
411	881	3
412	882	5
413	885	4
414	886	5
415	888	2
416	890	5
417	891	4
418	892	5
419	893	2
420	895	1
421	896	1
422	897	5
423	899	5
424	900	3
425	902	2
426	905	4
427	906	2
428	907	1
429	910	3
430	912	5
431	913	4
432	915	4
433	916	3
434	919	5
435	922	4
436	923	2
437	924	5
438	926	3
439	930	1
440	931	1
441	932	4
442	933	5
443	934	1
444	945	3
445	946	4
446	947	5
447	949	3
448	950	4
449	951	4
450	953	3
451	954	5
452	956	5
453	959	1
454	960	4
455	961	4
456	963	5
457	964	1
458	970	5
459	972	1
460	974	5
461	977	2
462	979	2
463	980	1
464	982	3
465	983	5
466	987	5
467	989	1
468	990	3
469	991	2
470	992	3
471	993	2
472	996	3
473	997	1
474	998	1
475	1002	4
476	1003	2
477	1004	1
478	1005	2
479	1006	4
480	1007	2
481	1008	1
482	1009	5
483	1013	5
484	1014	1
485	1017	5
486	1019	5
487	1020	5
488	1024	2
489	1028	1
490	1029	5
491	1030	3
492	1031	4
493	1033	5
494	1035	5
495	1036	4
496	1037	1
497	1039	1
498	1040	1
499	1041	3
500	1042	4
501	1046	1
502	1047	3
503	1049	3
504	1051	1
505	1052	4
506	1053	5
507	1055	5
508	1057	2
509	1060	2
510	1062	3
511	1063	2
512	1064	2
513	1065	3
514	1068	5
515	1070	2
516	1075	4
517	1079	5
518	1084	3
519	1085	5
520	1087	4
521	1088	1
522	1089	1
523	1090	1
524	1091	1
525	1092	3
526	1095	4
527	1097	1
528	1098	4
529	1099	2
530	1101	4
531	1102	1
532	1105	5
533	1106	5
534	1108	3
535	1109	5
536	1112	1
537	1114	1
538	1115	5
539	1116	4
540	1117	5
541	1118	3
542	1119	5
543	1120	1
544	1126	3
545	1127	1
546	1131	4
547	1134	3
548	1135	1
549	1136	4
550	1138	1
551	1140	2
552	1141	2
553	1143	1
554	1145	4
555	1147	3
556	1151	5
557	1152	3
558	1157	2
559	1158	3
560	1163	4
561	1165	3
562	1167	3
563	1168	3
564	1172	4
565	1179	5
566	1180	3
567	1181	3
568	1182	1
569	1183	2
570	1186	1
571	1193	4
572	1194	5
573	1195	3
574	1196	3
575	1198	5
576	1201	4
577	1202	5
578	1203	2
579	1207	2
580	1209	4
581	1211	4
582	1214	5
583	1215	4
584	1216	3
585	1220	3
586	1225	1
587	1226	3
588	1228	3
589	1229	4
590	1230	4
591	1231	2
592	1233	4
593	1234	4
594	1235	4
